City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Velha,BR,2021-01-30 22:58:16,-20.3297,-40.2925,80.6,74,0,13.8
68,Kodiak,US,2021-01-30 23:01:48,57.79,-152.4072,33.8,55,1,23.02
69,Yellowknife,CA,2021-01-30 23:01:40,62.456,-114.3525,-9.99,77,75,4.61
70,Mae Sai,TH,2021-01-30 23:11:11,20.4335,99.8762,66.2,100,20,3.44
71,Taonan,CN,2021-01-30 23:11:11,45.3333,122.7833,-4.99,89,100,6.85
72,Saint-Philippe,RE,2021-01-30 23:01:47,-21.3585,55.7679,78.8,65,0,6.91
73,Cape Town,ZA,2021-01-30 22:57:17,-33.9258,18.4232,72.0,77,75,1.14
74,Kapaa,US,2021-01-30 23:01:40,22.0752,-159.319,78.8,65,75,16.11
75,Thessalon,CA,2021-01-30 23:11:12,46.2501,-83.5666,21.2,68,1,9.28
76,Council Bluffs,US,2021-01-30 23:11:01,41.2619,-95.8608,34.0,93,90,20.71
77,Kloulklubed,PW,2021-01-30 23:07:02,7.0419,134.2556,82.4,74,75,9.22
78,Touros,BR,2021-01-30 23:02:22,-5.1989,-35.4608,80.6,78,0,8.05
79,Kaitangata,NZ,2021-01-30 22:59:58,-46.2817,169.8464,61.0,79,68,11.01
80,Constanza,DE,2021-01-30 23:11:13,47.6603,9.1758,43.0,95,100,4.0
81,Dhidhdhoo,MV,2021-01-30 23:11:13,6.8833,73.1,81.14,66,3,7.54
82,Mahebourg,MU,2021-01-30 23:01:07,-20.4081,57.7,78.8,89,40,11.72
83,Port Hedland,AU,2021-01-30 23:06:36,-20.3167,118.5667,82.4,74,83,5.75
84,Salina Cruz,MX,2021-01-30 23:11:14,16.1667,-95.2,85.66,51,61,11.79
85,Mataura,NZ,2021-01-30 22:57:27,-46.1927,168.8643,66.97,44,90,2.44
86,Lubao,PH,2021-01-30 23:11:14,14.9167,120.55,71.6,82,75,2.3
87,Nanpara,IN,2021-01-30 23:11:15,27.8667,81.5,43.75,63,0,1.61
88,Port Macquarie,AU,2021-01-30 23:02:27,-31.4333,152.9167,82.99,71,53,1.01
89,Bilibino,RU,2021-01-30 23:02:21,68.0546,166.4372,-28.23,79,1,5.77
90,Esmeralda,CU,2021-01-30 23:11:15,21.8525,-78.1169,73.4,60,20,14.97
91,Petrozavodsk,RU,2021-01-30 23:07:22,61.7849,34.3469,23.0,93,95,4.47
92,Bouafle,CI,2021-01-30 23:10:03,6.9904,-5.7442,77.0,83,87,5.35
93,Nhulunbuy,AU,2021-01-30 23:11:16,-12.2333,136.7667,82.4,78,84,8.05
94,Lagoa,PT,2021-01-30 23:01:52,39.05,-27.9833,61.93,92,73,27.31
95,Lebu,CL,2021-01-30 23:02:38,-37.6167,-73.65,59.4,77,2,12.82
96,Tabou,CI,2021-01-30 23:11:17,4.423,-7.3528,78.53,88,68,7.29
97,Coquimbo,CL,2021-01-30 23:02:26,-29.9533,-71.3436,66.2,82,75,9.22
98,Severo-Kurilsk,RU,2021-01-30 22:56:55,50.6789,156.125,24.8,95,96,29.04
99,Nikolskoye,RU,2021-01-30 22:56:47,59.7035,30.7861,26.6,93,75,6.71
100,Chokurdakh,RU,2021-01-30 23:01:53,70.6333,147.9167,-29.83,85,31,7.78
101,Abay,KZ,2021-01-30 23:11:17,49.6311,72.8539,12.2,73,0,6.71
102,Vilhena,BR,2021-01-30 23:06:57,-12.7406,-60.1458,75.2,88,20,3.44
103,Castro,BR,2021-01-30 22:57:03,-24.7911,-50.0119,65.77,97,100,1.68
104,Krasnyy Kut,RU,2021-01-30 23:11:18,50.95,46.9667,24.91,96,100,9.8
105,Nayoro,JP,2021-01-30 23:11:18,44.3506,142.4578,17.62,95,100,0.87
106,Georgetown,MY,2021-01-30 22:57:50,5.4112,100.3354,77.0,83,20,3.44
107,Saint George,US,2021-01-30 23:01:42,37.1041,-113.5841,52.0,49,1,1.48
108,Souillac,MU,2021-01-30 23:01:48,-20.5167,57.5167,78.8,89,40,10.38
109,Manyana,BW,2021-01-30 23:01:25,-23.4,21.7167,74.95,56,96,5.82
110,Mount Gambier,AU,2021-01-30 23:02:10,-37.8333,140.7667,60.8,77,0,8.05
111,Phan Thiet,VN,2021-01-30 23:06:54,10.9333,108.1,69.35,75,100,4.94
112,Andenes,NO,2021-01-30 23:07:03,69.3143,16.1194,24.8,68,37,9.22
113,Bereda,ES,2021-01-30 23:08:26,43.2686,-7.5406,48.0,94,100,8.99
114,Marzuq,YE,2021-01-30 23:02:06,14.4,46.4667,59.13,53,0,0.47
115,Calbuco,CL,2021-01-30 23:11:18,-41.768,-73.1273,64.4,52,0,11.5
116,Bambous Virieux,MU,2021-01-30 23:06:43,-20.3428,57.7575,78.8,89,40,11.7
117,Rawson,AR,2021-01-30 23:07:28,-43.3002,-65.1023,61.7,54,3,17.54
118,Shubarkuduk,KZ,2021-01-30 23:08:24,49.1447,56.4872,16.0,94,23,8.25
119,Hasaki,JP,2021-01-30 23:06:25,35.7333,140.8333,30.2,69,20,4.61
120,Sidi Ali,DZ,2021-01-30 23:11:20,36.0998,0.4206,56.3,83,93,20.15
121,Beloha,MG,2021-01-30 23:07:26,-25.1667,45.05,76.05,78,14,3.89
122,Cherskiy,RU,2021-01-30 23:01:38,68.75,161.3,-37.23,82,3,2.1
123,Marck,FR,2021-01-30 23:11:20,50.949,1.9433,35.01,78,100,4.0
124,Mareeba,AU,2021-01-30 23:11:21,-17.0,145.4333,86.0,69,100,2.3
125,Dikson,RU,2021-01-30 23:02:02,73.5069,80.5464,-35.52,80,0,7.65
126,Fort Morgan,US,2021-01-30 23:11:21,40.2503,-103.8,50.0,29,1,21.85
127,Jieshi,CN,2021-01-30 23:11:22,22.8134,115.8257,56.5,82,0,13.22
128,San Lorenzo,PY,2021-01-30 23:11:22,-25.3333,-57.5333,87.8,70,75,2.3
129,Vila Franca Do Campo,PT,2021-01-30 23:07:11,37.7167,-25.4333,62.01,100,20,16.11
130,Lorengau,PG,2021-01-30 23:01:12,-2.0226,147.2712,82.08,81,100,11.34
131,Ahipara,NZ,2021-01-30 23:09:00,-35.1667,173.1667,71.15,47,0,5.19
132,Maiduguri,NG,2021-01-30 23:11:22,11.8464,13.1603,67.51,26,0,7.99
133,Kirakira,SB,2021-01-30 23:02:18,-10.4544,161.9205,83.3,77,100,6.15
134,Noumea,NC,2021-01-30 23:11:00,-22.2763,166.4572,81.0,73,90,17.27
135,Ukiah,US,2021-01-30 23:07:17,39.1502,-123.2078,55.4,44,90,14.97
136,Znamenskoye,RU,2021-01-30 23:11:23,57.1281,73.8282,-0.11,93,100,10.09
137,Lanigan,CA,2021-01-30 23:11:24,51.8501,-105.0344,14.0,85,73,3.44
138,Fortuna,US,2021-01-30 23:01:51,40.5982,-124.1573,55.99,71,75,24.16
139,Kenai,US,2021-01-30 23:02:21,60.5544,-151.2583,24.01,79,20,5.08
140,Port Elizabeth,ZA,2021-01-30 23:01:40,-33.918,25.5701,64.4,94,0,6.91
141,Lavrentiya,RU,2021-01-30 23:07:23,65.5833,-171.0,-17.01,84,0,5.5
142,Huangchuan,CN,2021-01-30 23:11:24,32.1272,115.0394,43.79,68,0,4.61
143,Pevek,RU,2021-01-30 23:01:03,69.7008,170.3133,-32.84,84,2,3.74
144,Katherine,AU,2021-01-30 23:11:25,-14.4667,132.2667,80.6,83,40,6.91
145,Canchungo,GW,2021-01-30 23:11:25,12.0672,-16.0333,77.0,65,0,2.3
146,Bonavista,CA,2021-01-30 23:08:57,48.6499,-53.1147,28.99,93,98,4.61
147,Kuala Terengganu,MY,2021-01-30 23:11:25,5.3302,103.1408,75.2,94,40,1.14
148,Douglas,US,2021-01-30 23:11:25,41.3,-96.167,35.01,100,90,18.41
149,Geraldton,AU,2021-01-30 23:02:03,-28.7667,114.6,84.2,28,0,8.05
150,Toktogul,KG,2021-01-30 23:11:26,41.8708,72.9402,17.01,52,100,1.63
151,Portland,US,2021-01-30 23:03:27,45.5234,-122.6762,50.0,81,90,16.11
152,Bengkulu,ID,2021-01-30 23:01:57,-3.8004,102.2655,75.24,93,98,10.16
153,Bodden Town,KY,2021-01-30 23:11:26,19.2833,-81.25,78.8,69,20,14.97
154,Olinda,BR,2021-01-30 23:08:48,-8.0089,-34.8553,78.8,69,40,9.22
155,Chapais,CA,2021-01-30 23:02:37,49.7834,-74.8492,-2.2,71,90,9.22
156,Kungsbacka,SE,2021-01-30 23:11:26,57.4872,12.0761,26.01,93,0,2.3
157,Baykit,RU,2021-01-30 23:07:10,61.67,96.37,-34.73,76,6,1.54
158,La Palma,US,2021-01-30 23:11:27,33.8464,-118.0467,64.4,67,1,6.91
159,San Ramon,US,2021-01-30 23:06:28,37.7799,-121.978,61.0,47,1,9.22
160,Bosaso,SO,2021-01-30 23:11:27,11.2842,49.1816,72.09,75,21,5.21
161,Pasir Gudang,MY,2021-01-30 23:11:28,1.4584,103.8805,77.0,88,0,9.22
162,Wanaka,NZ,2021-01-30 23:11:28,-44.7,169.15,65.07,41,21,5.23
163,Rio Gallegos,AR,2021-01-30 23:06:43,-51.6226,-69.2181,66.2,32,20,18.41
164,Kutum,SD,2021-01-30 23:01:52,14.2,24.6667,53.26,37,0,4.92
165,Banda Aceh,ID,2021-01-30 23:11:28,5.5577,95.3222,76.17,81,58,13.24
166,Lata,PT,2021-01-30 23:06:41,40.1629,-8.3327,55.99,86,67,3.0
167,Gravdal,NO,2021-01-30 23:11:29,68.1214,13.5031,26.31,87,1,6.33
168,Cidreira,BR,2021-01-30 23:01:54,-30.1811,-50.2056,75.16,91,83,7.25
169,Isla Mujeres,MX,2021-01-30 23:09:00,21.2311,-86.731,78.8,53,40,13.8
170,Black River,JM,2021-01-30 23:11:30,18.0264,-77.8487,78.01,73,40,18.41
171,Tisovec,SK,2021-01-30 23:11:30,48.6774,19.9436,26.01,79,75,3.44
172,Dabat,ET,2021-01-30 23:07:00,12.9842,37.765,49.17,69,0,3.11
173,Saint Anthony,US,2021-01-30 23:07:10,45.0205,-93.218,33.8,64,90,5.75
174,Omboue,GA,2021-01-30 23:06:44,-1.5746,9.2618,75.65,89,100,2.89
175,Melbu,NO,2021-01-30 23:11:30,68.5044,14.8297,15.8,62,0,4.61
176,Ntchisi,MW,2021-01-30 23:11:30,-13.5278,33.9149,61.0,100,100,2.39
177,Kavieng,PG,2021-01-30 22:57:02,-2.5744,150.7967,83.25,73,100,14.32
178,Umm Kaddadah,SD,2021-01-30 23:08:54,13.6017,26.6876,63.43,27,0,14.97
179,Sitka,US,2021-01-30 23:01:57,57.0531,-135.33,42.8,49,75,6.91
180,Bredasdorp,ZA,2021-01-30 23:00:50,-34.5322,20.0403,66.99,85,6,6.35
181,Saldanha,ZA,2021-01-30 23:01:53,-33.0117,17.9442,64.69,91,0,5.06
